Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-01-13 04:00:00-05:00,219.68,219.68,219.6,219.6,0,0.0,0.0
2025-01-13 04:01:00-05:00,219.43,219.43,218.7,218.7,0,0.0,0.0
2025-01-13 04:03:00-05:00,218.0,218.0,217.9,217.9,0,0.0,0.0
2025-01-13 04:04:00-05:00,217.64,217.85,217.53,217.85,0,0.0,0.0
2025-01-13 04:05:00-05:00,217.9,218.42,217.9,218.42,0,0.0,0.0
2025-01-13 04:06:00-05:00,218.41,218.42,217.8,218.0,0,0.0,0.0
2025-01-13 04:07:00-05:00,217.88,217.95,217.52,217.52,0,0.0,0.0
2025-01-13 04:08:00-05:00,217.69,218.12,217.48,218.12,0,0.0,0.0
2025-01-13 04:09:00-05:00,218.11,218.45,218.11,218.32,0,0.0,0.0
2025-01-13 04:10:00-05:00,218.31,218.31,218.0,218.0,0,0.0,0.0
2025-01-13 04:11:00-05:00,217.98,218.0,217.98,218.0,0,0.0,0.0
2025-01-13 04:12:00-05:00,218.03,218.03,217.98,217.98,0,0.0,0.0
2025-01-13 04:13:00-05:00,218.0,218.0,217.96,217.96,0,0.0,0.0
2025-01-13 04:14:00-05:00,218.24,218.3,218.15,218.22,0,0.0,0.0
2025-01-13 04:15:00-05:00,218.2,218.24,218.03,218.03,0,0.0,0.0
2025-01-13 04:16:00-05:00,218.03,218.03,217.51,217.52,0,0.0,0.0
2025-01-13 04:17:00-05:00,217.68,217.68,217.56,217.56,0,0.0,0.0
2025-01-13 04:18:00-05:00,217.88,217.88,217.5,217.53,0,0.0,0.0
2025-01-13 04:19:00-05:00,217.62,218.14,217.62,218.01,0,0.0,0.0
2025-01-13 04:22:00-05:00,217.81,218.0,217.81,218.0,0,0.0,0.0
2025-01-13 04:23:00-05:00,218.01,218.25,217.97,218.02,0,0.0,0.0
2025-01-13 04:24:00-05:00,217.96,217.96,217.96,217.96,0,0.0,0.0
2025-01-13 04:25:00-05:00,217.89,217.89,217.53,217.53,0,0.0,0.0
2025-01-13 04:26:00-05:00,217.52,217.53,217.31,217.4,0,0.0,0.0
2025-01-13 04:27:00-05:00,217.22,217.27,217.16,217.18,0,0.0,0.0
2025-01-13 04:28:00-05:00,217.18,217.51,217.08,217.51,0,0.0,0.0
2025-01-13 04:29:00-05:00,217.52,217.8,217.52,217.53,0,0.0,0.0
2025-01-13 04:30:00-05:00,217.59,217.77,217.47,217.74,0,0.0,0.0
2025-01-13 04:31:00-05:00,217.61,217.7,217.59,217.62,0,0.0,0.0
2025-01-13 04:32:00-05:00,217.63,217.88,217.62,217.8,0,0.0,0.0
2025-01-13 04:33:00-05:00,217.46,217.46,217.46,217.46,0,0.0,0.0
2025-01-13 04:34:00-05:00,217.3,217.3,217.3,217.3,0,0.0,0.0
2025-01-13 04:35:00-05:00,217.29,217.31,217.29,217.31,0,0.0,0.0
2025-01-13 04:36:00-05:00,217.61,217.74,217.51,217.51,0,0.0,0.0
2025-01-13 04:37:00-05:00,217.67,217.7,217.67,217.69,0,0.0,0.0
2025-01-13 04:38:00-05:00,217.61,218.06,217.59,218.06,0,0.0,0.0
2025-01-13 04:39:00-05:00,217.98,217.98,217.2,217.67,0,0.0,0.0
2025-01-13 04:40:00-05:00,217.71,217.71,217.2,217.21,0,0.0,0.0
2025-01-13 04:41:00-05:00,217.22,217.22,217.2,217.2,0,0.0,0.0
2025-01-13 04:42:00-05:00,217.11,217.11,217.0,217.0,0,0.0,0.0
2025-01-13 04:43:00-05:00,217.0,217.0,216.88,216.99,0,0.0,0.0
2025-01-13 04:44:00-05:00,217.0,217.0,216.47,216.53,0,0.0,0.0
2025-01-13 04:46:00-05:00,216.61,217.2,216.61,217.1,0,0.0,0.0
2025-01-13 04:47:00-05:00,216.87,216.87,216.87,216.87,0,0.0,0.0
2025-01-13 04:48:00-05:00,217.01,217.01,216.88,216.88,0,0.0,0.0
2025-01-13 04:50:00-05:00,217.0,217.01,216.55,216.55,0,0.0,0.0
2025-01-13 04:51:00-05:00,216.67,216.67,216.5,216.5,0,0.0,0.0
2025-01-13 04:52:00-05:00,216.52,216.52,216.36,216.36,0,0.0,0.0
2025-01-13 04:53:00-05:00,216.43,216.43,216.16,216.16,0,0.0,0.0
2025-01-13 04:54:00-05:00,216.17,216.4,216.13,216.37,0,0.0,0.0
2025-01-13 04:55:00-05:00,216.43,216.82,216.43,216.6,0,0.0,0.0
2025-01-13 04:56:00-05:00,216.61,216.8,216.51,216.8,0,0.0,0.0
2025-01-13 04:57:00-05:00,216.51,216.51,216.39,216.48,0,0.0,0.0
2025-01-13 04:58:00-05:00,216.48,216.67,216.48,216.48,0,0.0,0.0
2025-01-13 04:59:00-05:00,216.68,216.68,216.61,216.61,0,0.0,0.0
2025-01-13 05:00:00-05:00,216.54,216.94,216.54,216.94,0,0.0,0.0
2025-01-13 05:01:00-05:00,216.76,216.93,216.75,216.93,0,0.0,0.0
2025-01-13 05:02:00-05:00,216.56,216.73,216.56,216.72,0,0.0,0.0
2025-01-13 05:03:00-05:00,216.85,216.85,216.72,216.72,0,0.0,0.0
2025-01-13 05:04:00-05:00,216.96,216.96,216.96,216.96,0,0.0,0.0
2025-01-13 05:05:00-05:00,216.94,216.94,216.68,216.68,0,0.0,0.0
2025-01-13 05:06:00-05:00,216.66,216.66,216.6,216.6,0,0.0,0.0
2025-01-13 05:07:00-05:00,216.51,216.52,216.4,216.4,0,0.0,0.0
2025-01-13 05:08:00-05:00,216.4,216.51,216.38,216.45,0,0.0,0.0
2025-01-13 05:09:00-05:00,216.51,216.51,216.51,216.51,0,0.0,0.0
2025-01-13 05:10:00-05:00,216.4,216.4,216.37,216.37,0,0.0,0.0
2025-01-13 05:11:00-05:00,216.36,216.36,216.17,216.3,0,0.0,0.0
2025-01-13 05:12:00-05:00,216.24,216.3,216.24,216.3,0,0.0,0.0
2025-01-13 05:13:00-05:00,216.52,216.74,216.52,216.74,0,0.0,0.0
2025-01-13 05:14:00-05:00,216.83,216.83,216.83,216.83,0,0.0,0.0
2025-01-13 05:15:00-05:00,216.86,217.0,216.83,216.93,0,0.0,0.0
2025-01-13 05:16:00-05:00,217.11,217.19,217.09,217.09,0,0.0,0.0
2025-01-13 05:17:00-05:00,216.9,216.9,216.87,216.87,0,0.0,0.0
2025-01-13 05:18:00-05:00,216.79,216.79,216.64,216.79,0,0.0,0.0
2025-01-13 05:19:00-05:00,216.64,216.86,216.62,216.86,0,0.0,0.0
2025-01-13 05:20:00-05:00,216.8,216.86,216.8,216.86,0,0.0,0.0
2025-01-13 05:21:00-05:00,216.84,216.84,216.81,216.81,0,0.0,0.0
2025-01-13 05:22:00-05:00,216.85,217.12,216.85,217.12,0,0.0,0.0
2025-01-13 05:23:00-05:00,217.19,217.2,217.04,217.04,0,0.0,0.0
2025-01-13 05:24:00-05:00,217.05,217.05,217.03,217.03,0,0.0,0.0
2025-01-13 05:25:00-05:00,217.15,217.15,217.03,217.03,0,0.0,0.0
2025-01-13 05:26:00-05:00,217.5,217.5,217.5,217.5,0,0.0,0.0
2025-01-13 05:27:00-05:00,217.67,217.97,217.65,217.89,0,0.0,0.0
2025-01-13 05:28:00-05:00,217.9,217.9,217.67,217.67,0,0.0,0.0
2025-01-13 05:29:00-05:00,217.76,217.76,217.5,217.5,0,0.0,0.0
2025-01-13 05:30:00-05:00,217.48,217.63,217.48,217.56,0,0.0,0.0
2025-01-13 05:31:00-05:00,217.62,217.84,217.62,217.84,0,0.0,0.0
2025-01-13 05:32:00-05:00,217.86,217.94,217.85,217.94,0,0.0,0.0
2025-01-13 05:33:00-05:00,217.92,217.92,217.89,217.89,0,0.0,0.0
2025-01-13 05:34:00-05:00,217.89,217.9,217.88,217.88,0,0.0,0.0
